id,title,genres,popularity,rating,description,image_url
305,Abashiri Ikka,"['action', 'comedy', 'ecchi']",8755,5.28,"For decades, the Abashiri family has been one of the most powerful and feared crime families in the world. Led by the frightening Daemon Abashiri, the family prepares to perform their final, greatest heist. As the family makes their assault on a large bank, Daemon reveals that his youngest child, Kikunosuke Abashiri, is actually the first daughter born to the family in 18 generations—which is why he wants to end their life of crime.

Much to Kikunosuke's displeasure, her father has arranged for her to study at the elite Paradise Academy, hoping that the school will shape her into a proper lady. However, when she arrives, she finds that the place is even more brutal than the life of crime she just left! How does Kikunosuke intend to survive in a school full of teachers who are hell-bent on killing their students?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1492/94195.jpg
307,Kerokko Demetan,"['comedy', 'fantasy']",11937,5.99,"Demetan comes from such a poor family that he cannot even go to school in his woodland pond community. However, he has a friend named Ranatan, the lovely, gentle frog girl who is the daughter of the pond's rich ruler. Naturally her father is quite displeased by this relationship and he seeks to break it up. Nevertheless the young frogs continue with courage and confidence, not only to live their own lives but to guide the heartless leopard frog to a sense of justice and generosity. Gradually the pond community responds to their sincerity and joins them in a march toward a bright future. 

(Source: Official Website)",https://cdn.myanimelist.net/images/anime/1807/108565.jpg
309,Akahori Gedou Hour Rabuge,['comedy'],7778,6.12,"Akahori Gedou Hour Rabuge is an anime series that combined episodes of two related stories into one broadcast block.

Zettai Seigi Love Pheromone
Yoshizumi Aimi and Sasajima Kaoruko are comic duo, Their dream is to become popular and stand on the Broadway stage.However, their names are not well-known, and they have to do part-time jobs.To make their names popular, they decided to do side job. It is heroines of justice, They will beat villains one after another, but after that, there is nothing but ruins. People are afraid of them and even rumor that they are evil. (Source: ANN)

Soreyuke! Gedou Otometai
The five Hokke sisters lost their parents when they were quite young. Although they are poor, they`re living comfortably because they have a dream, which is to be evil. The Hokke Family has belonged to an evil organization and worked as a combatant. When their father died, he left them a message that asked them to become a villain that he couldn`t become. However they wondered how to become the best villains.

One day, the youngest sister Utano found a jar. They were told not to open it until they we`re 18. It was sealed by a talisman labeled R18. Akuma-ko broke the seal on the jar and a devil appeared. The demon said they had special powers inside of them, when they have the weapons in their hands they would turn into Gedo Otome Tai. (Source: AnimeNfo)",https://cdn.myanimelist.net/images/anime/4/75541.jpg
310,"Chiisana Obake: Acchi, Kocchi, Socchi","['comedy', 'supernatural']",11383,6.07,"This is a heart-warming story with three little ghost called There, Here and Where. They are not scary like usual ghosts but pretty and mischievous like human children. Of course they sometimes surprise people by disappearing or flying, but they are loved as children's friends. 

Each episode consists of two stories.",https://cdn.myanimelist.net/images/anime/1893/100728.jpg
312,Ace wo Nerae! Final Stage,"['drama', 'sports']",10222,6.82,"Hiromi continues developing her tennis and shows the results while undergoing an emotional change into an adult.

(Source: AniDB)",https://cdn.myanimelist.net/images/anime/6/71784.jpg
313,Ace wo Nerae! (1979),"['drama', 'romance', 'sports']",8678,6.91,"High school freshman Hiromi joins the tennis club because of her admiration for Ryuzaki. Ryuzaki is a senior, who's the best tennis player on the team and also nicknamed ""Ochoufujin"", (""Madame Butterfly""), because of her elegance on the tennis court. However, the new coach, Jin Munakata, wants the inexperienced Hiromi to play in a forthcoming tournament.

Due to this, Hiromi considers quitting tennis for good but, in the depth of her soul, she soon realizes that she loves tennis after all. She returns to the club and, under Munakata's coaching, her talent starts to bloom.

In the end, Hiromi develops a strong emotional bond with her coach, not knowing that Munakata is risking his life because of a chronic illness.

(Source: AnimeNfo)",https://cdn.myanimelist.net/images/anime/1249/142309.jpg
314,Ace wo Nerae! 2,"['drama', 'sports']",9444,7.15,"It’s been three years since Nishi High’s Hiromi Oka was taken under the wing of former tennis superstar and “demon” coach, Jin Munakata. Fresh off a national championship win, Hiromi has been selected to represent Japan in New York for an international tournament. Unfortunately, Munakata is suddenly hospitalized after his own demons finally catch up with him. Forced to continue on without him, Hiromi must find it in herself to keep playing in the face of new challengers and heartbreaking tragedy.

(Source: Discotek Media)",https://cdn.myanimelist.net/images/anime/6/71785.jpg
315,Xiao Qian,"['action', 'drama', 'fantasy', 'romance']",10005,6.4,"A Chinese Ghost Story is a movie that follows a young man named Ning. After the loss of his girlfriend he works as a debt collector to forget his troubles only to encounter more than he had imagined. Accompanied by his constant companion Solid Gold, Ning ends up in a ghost town and from there the adventure ensues. This movie explores some of China`s myths and fantasies as the viewer is taken through a world of drama, romance, and battles between good and evil.

(Source: AniDB)",https://cdn.myanimelist.net/images/anime/8/28202.jpg
319,Happy World!,"['comedy', 'fantasy', 'romance', 'ecchi']",7923,5.98,"Oomura Takeshi is one unlucky fellow. He has has this case of bad luck ever since he was little. One day, while on his normal runs with bad luck, he meets an Angel named Elle, and he finds out that his father wished the curse of bad luck upon him. Takeshi has the oppurtunity to pass on the curse, but accepts it to save a young girl. For his noble act, Elle becomes human and lives with Takeshi to protect him from the curse, which is something Takeshi isn't particularly happy with.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/1198/116659.jpg
328,Piano,"['drama', 'romance', 'slice of life']",6793,5.99,"When Miu was young, she was fascinated by the piano and took up lessons.

When the show opens, Miu is in middle school. She is shy, a soft-spoken girl who doesn't have a lot of confidence in herself. Her friends would describe her as ""sweet"" and ""quiet."" At this point, Miu has been taking piano lessons for some time and while people have told her that she's gotten very good over the years, Miu herself feels she's not really good at anything—including the piano. Her teacher, Mr. Shirakawa, is often frustrated with her playing. Although she plays every note exactly correct, her heart just isn't in it...

Meanwhile, Miu's come of the age when she's noticing boys and this shy young lady has noticed the handsome Kazuya Takahashi—even if he hasn't noticed her.

This is Miu's story. The story of a young girl who is on a journey to discover the melody within her own heart and the courage to express it.

(Source: RightStuf)",https://cdn.myanimelist.net/images/anime/2/12834.jpg
332,Dokidoki♡Densetsu: Mahoujin Guruguru,"['adventure', 'comedy', 'fantasy']",9084,7.11,"Join the new legend of Guruguru, where Nike, the reluctant hero, and Kukuri, the innocent heroine, return to save the world. The magical adventure that unfolds, with its unique monsters and eccentric characters, is sure to draw you into this curious and exciting realm.

To save the world from evil King Giri, Kukuri must locate the monsters in each territory and win them, one by one, over to her side. Meanwhile Nike's task is to be recognized by the Four Kings of Nature and collect their swords. These swords are known as the ""Sword of Wind,"" the ""Sword of Water,"" the ""Sword of Earth"" and the ""Sword of Fire.""

Can Nike and Kukuri truly become hero and heroine? Follow their journey and find out!

(Source: AniDB)",https://cdn.myanimelist.net/images/anime/1153/134019.jpg
333,Mama wa Shougaku 4-nensei,"['award winning', 'comedy', 'drama', 'sci-fi']",7436,7.31,"Natsumi Mizuki is a 4th grader whose parents have gone to London. Her Aunt Izumi comes to live with her. Izumi is an aspiring manga writer who is trying to get her first big break, so she doesn't have time for a baby that appears out of thin air on Natsumi's first night alone. The baby's name is Mirai and her mother is *Natsumi*, but 15 years older. Somehow, Mirai had traveled back in time. Now the young Natsumi has to raise Mirai while trying to keep her 4th grade life from falling apart and keep Mirai-chan secret from everyone. She has the dubious help of Izumi and some baby-care gadgets from the future.  

(Source: ANN)",https://cdn.myanimelist.net/images/anime/12/87408.jpg
347,Wild Arms: Twilight Venom,"['action', 'adventure', 'fantasy', 'sci-fi']",6973,6.63,"This anime is based on a playstation game under the same title. The story is about four people who travel the desolated land of Filgaea and carve themselves a legendary story while they're at it. These adventurers are Sheyenne Rainstorm, a gunslinger who holds the legendary weapon called ARMs; Kiel Aromax, a scientist who looks like he should be carrying a sword; Roleta Oratorio the Crest Sorceress, a magic-user who uses cards called Crests to cast spells; and Mirabelle Graceland, one of the Noble Red, which are a family of vampiric creatures who live alongside human beings They also travel with cute little intelligent furry things, from the Popepi Pipepo Tribe, named Isaac and Jerusha.

(Source: AniDB)",https://cdn.myanimelist.net/images/anime/1532/94186.jpg
349,Magical Canan,"['drama', 'fantasy', 'ecchi']",7824,6.08,"Five dangerous ""seeds"" have been stolen from their vault in the world of Evergreen and taken to Earth. Natsuki, an agent of the Queen, has been sent to retrieve them. However, he cannot do this alone and enlists the aid of Chihaya, a middle school student, who is ""the only one"" who can help him. With his aid she transforms into Magical Warrior Carmine in order to save the humans possessed by the seeds. Questions abound though, such as why Chihaya's mother appears to know all about this secret activity, why Chihaya remembers her father who reportedly died before her birth, and why she dreams of Evergreen, which she has never seen. 

(Source: ANN)",https://cdn.myanimelist.net/images/anime/10/75560.jpg
359,I'll/CKBC,['sports'],8327,6.17,"Pressured by his family's background and expectations, high school student Hitonari Hiiragi has been considering quitting basketball. However, after meeting Akane Tachibana, Hiiragi's love for the sport is reignited. As he joins the Kouzu High School basketball club, Hiiragi aims to pursue his own path in basketball together with his cherished teammates.

But despite having fun with his newfound comrades, Hiiragi eventually starts to question whether he can achieve his dreams with the current team and environment. As they each struggle with their differing approaches towards the sport, Hiiragi and the team ponder what it truly means to play basketball together.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1/359.jpg
360,Himiko-den,"['adventure', 'drama', 'fantasy', 'supernatural']",7815,6.14,"In a world where the dead walk, where good and evil exist as palpable forces, a darkness is stirring. The undead march against the cities of light, to capture the sacred fire that is the source of their power. But one hope remains. Called into this world by the magical flame, a young girl named Himiko is thrust into the maelstrom of danger, betrayal, and war. For she is heir to the sacred fire, and holds a power that could save its Guardians... if she survives!

(Source: Central Park Media)",https://cdn.myanimelist.net/images/anime/8/80544.jpg
361,Memories Off,"['drama', 'romance']",7641,5.77,"Tomoya Mikami's life changed one day when his girlfriend Ayaka was hit by a car and killed on her way to meet Tomoya. He blamed himself for her death and never was the same after the accident. He began acting callously towards Yue and his other friends. Furthermore, every time Tomoya gets involved with a new girl, he sees images of Ayaka in his dreams. He decides he needs to find a way to say goodbye to his lost love once and for all, while dealing with several side romances at the same time.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/1497/127514.jpg
362,Memories Off 2nd,"['drama', 'romance']",9197,6.12,"Shirakawa Hotaru, a girl who's in love with Inami Ken, finally confesses her love. From there on, they were happy couples, until one summer. Ken met a new friend, Tobise Tomoe, who is Hotaru's best friend. Tomoe seems to have her own charm. Ken, now have two paths to choose from; to be with Shirakawa Hotaru or Tobise Tomoe. Otherwise, he will lose them both. 

(Source: ANN)",https://cdn.myanimelist.net/images/anime/2/3290.jpg
363,Memories Off 3.5,"['drama', 'romance']",9618,6.12,"This series is made up of two seperate stories with a few overlapping characters. The first story, Omoide no Kanata e, is about Shogo and his current girlfriend Neo. Kanata, a former girlfriend of Shogo's shows up one day and causes Shogo and Neo to think about their current situations. The second story, Inori no Todoku Koro, is about girl called Inori and her boyfriend Isshu. They had made a promise to always go to the fireworks festival together, since that was the place that they orginally became a couple. This year, Isshu says he cannot attend because of his work so Inori goes alone and recalls the previous two years.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/1802/127516.jpg
367,Akazukin Chacha OVA,"['comedy', 'fantasy']",10413,7.03,"Following the original TV series, the story tells the efforts of Momiji Gakuen, Chacha's rival school principal, to discover what is so special about Urara Gakuen students and what she could do to ""produce"" the best students.",https://cdn.myanimelist.net/images/anime/1404/95392.jpg
374,Bannou Bunka Neko-Musume DASH!,"['action', 'comedy', 'romance', 'sci-fi', 'ecchi']",7918,6.3,"It's in the not too distant future. One day Nuku-Nuku dropped in and began to live with the Natsume family. Having lost her memory, Nuku-Nuku assumed the identity of a beautiful girl named Atsuko Higuchi. She was so beautiful and gentle, and besides, she was such a great cook that Ryunosuke, 14, was all smiles. However, after her arrival in town, a series of mysterious incidents started to happen in Maneki City - Experimental machines running haywire, roaring fighter aircraft flying low, mass destruction in the city. In every case, a mysterious girl was spotted at the scene of the incident.

(Source: AnimeNfo)",https://cdn.myanimelist.net/images/anime/7/2886.jpg
375,Bannou Bunka Neko-Musume (1998),"['action', 'adventure', 'comedy', 'sci-fi']",6884,6.51,"Each episode centers on Nuku Nuku's adventures and mishaps in high school, and her relationship to students, the overall series plot centers on the evil Mishima Industries' scheme to dominate the world through its products. In opposition to this plan are the slightly nutty Kyuusaku Natsume and Nuku Nuku, the android who acts as a companion to his young son. Nuku Nuku's classmates are all eccentrics, Futaba, the class president, is a domineering control-freak, who cannot leave her authority in school. Chieko Shirakaba is the rich snob with the two yes-girls who always take her side. There is a bookworm, a mystic, a scientist, and a pop singer. All of these are true to their descriptions: the mystic is always foretelling doom via tarot cards, spirits, or some other occult technique. The pop singer never says anything except as a song. The bookworm always has her nose in a book. These eccentricities add to the series' humor. 

(Source: ANN)",https://cdn.myanimelist.net/images/anime/10/2875.jpg
378,eX-Driver the Movie,"['action', 'adventure', 'comedy', 'sci-fi']",8268,6.57,"After winning domestic preliminary round, Lisa, Lorna, and Soichi advance to ex-Driver world race competition held in Los Angeles as representative team from Japan. Like a bad omen, they encountered a reckless AI car the first night they arrived at Los Angeles. Although they successfully stopped the car, the local police department is not very happy about that and insists to examine their car overnight. 

However, the problem did not stop just there. The daughter of the United States team`s sponsor, Angela, has gone missing. Lorna realized that Angela was on the reckless AI car before. Soichi who guessed that Angel could be in danger then start looking for her. But Soichi got captured by a mysterious man, and he shocked to find Angela is also there. 

During the confinement inside a warehouse, Soichi finds out that apparently there is a connection between the series of incident and illegal gambling on the ex-Driver world race competition. Now Soichi must escape from the warehouse with Angela... 

(Source: AniDB)",https://cdn.myanimelist.net/images/anime/13/26195.jpg
399,Seikai no Senki Special,"['action', 'romance', 'sci-fi']",9873,7.18,A compilation of the Seikai no Senki Tokubetsuhens series with additional footage.,https://cdn.myanimelist.net/images/anime/3/2754.jpg
402,Otogi Juushi Akazukin OVA,"['adventure', 'comedy', 'fantasy']",11443,6.34,"Long, long time ago there where both science and magic in the human world. But God became afraid of the Human's unlimited potential, so he divided the world into two and sealed them apart. One world with magic and the other one with science.

Suzukaze Souta is a normal boy except that he has the Key in his body to break the Seal. The evil witch Cendrillon want that power and tries to take it. Akazukin and Val, a silver wolf, came from the magic-world to prevent her from that.

A grand story of a boy who will lead a checkered life and girls in fairly lands has just begun.

(Source: AniDB)",https://cdn.myanimelist.net/images/anime/3/3243.jpg
422,Stratos 4 OVA,"['comedy', 'sci-fi']",9725,6.66,"After successfully returning to Earth on the renovated Stratos 4, the four main characters are visited by the Comet Blasters Chizuru Kubo and Annette Kerry, who bring them a shocking video.  Meanwhile, Orbital Station 7 is in serious trouble...

This two-episode OVA comes between the first and second seasons.

(Source: ANN, edited by Glenn Magus Harvey)",https://cdn.myanimelist.net/images/anime/7/7664.jpg
423,Stratos 4 Advance,"['comedy', 'sci-fi']",9548,6.77,"Having failed the Comet Blaster exams mysteriously, Mikaze and her friends are sent back to the Shimoji Island base, where, with three new Meteor Sweeper trainees around, they have been promoted to instructor positions.

Meanwhile, more comets are on their way to Earth, and the mysteries behind the rift in the Cosmic Emergency Management Agency—as well as the alien parasites—begins to unravel.",https://cdn.myanimelist.net/images/anime/7/67335.jpg
425,Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,"['boys love', 'comedy', 'sports']",7434,6.35,"Kubota Makoto and Tokitoh Minoru (characters from Kazuya Minekura's manga Wild Adaptor—though no reference is made to the darker storyline of WA in this light-hearted anime)—are the muscle of their high school's all-powerful student council. They defend the student body from disorder—generated by both humans and demons—while avoiding their classes.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/7/31701.jpg
434,Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,"['action', 'adventure', 'fantasy']",6873,5.54,"The young and beautiful Lemnear's home village is destroyed and her brother is taken away. Lemnear swears to kill the evil wizard Gardin who is responsible for the disaster. With her allies Lemnear goes on a journey to take her revenge. She doesn't know, though, that there is someone above Gardin... 

(Source: ANN)",https://cdn.myanimelist.net/images/anime/8/26903.jpg
439,RG Veda,"['adventure', 'drama', 'fantasy']",6807,6.05,"The fearsome warrior Taishaku-ten rebelled against the world-ruling gods three hundred years ago and began his own oppressive reign. His dominion remained unchecked for years—until one day, the blind prophet Kuyou prophesied that warriors known as the Six Stars and a child of the vanished race called Ashura would defeat Taishaku-ten. 

Ashura, marked by his pointed ears and golden eyes; Yasha-ou, a robust warrior; and four other Stars prepare to challenge Taishaku-ten. In order to do so, they must journey across tarnished landscapes and battle monstrous demons that have plagued the land. But as the wheels of fate turn, Ashura and Yasha-ou must find the sixth Star before it is too late. 

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/anime/1487/112102.jpg
473,Tide-Line Blue,"['action', 'adventure', 'drama']",7228,6.58,"The catastrophe, ""Hammer of Eden,"" resulted in the loss of six billion lives and the flooding of 90% of the land. The New United Nations were formed to pursue peace on the ruined lands 14 years later. Keel is a boy living in a town called Yabitsu, an area which prospered due to the energy from the nuclear generator brought by the catastrophe. His next kin, Aoi, is the secretary general of the New United Nations. She views the catastrophe as an opportunity to create a new world in which nations can help one another overcome differences in races and religions. However, her efforts to realise that vision fail because of the unwillingness of the nations to change. Gould, a military officer, feels that the only way to make an order is through the military. Using Ulysses, a nuclear submarine, along with his crew, including Keel's brother Tean, Gould carries out a coup to declare war against the New United Nations in his attack on Yabitsu.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/9/75832.jpg
475,Hotori: Tada Saiwai wo Koinegau,"['drama', 'sci-fi']",7845,6.86,"At the Personality Plant, robots are being built and slowly outfitted with the artificial memories of real people. Suzu is one such robot, being made to replace the young boy a family has lost. By chance, he meets Hotori, a young girl suffering from progressive memory loss. The two children become friends and attempt to define themselves in the light of their changing memories.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/1010/116695.jpg
496,Kamui no Ken,"['adventure', 'drama', 'fantasy']",7340,6.61,"A young boy named Jiro finds his mother and sister murdered in his home. Falsely accused of the crime, he flees from his village and meets a priest named Tenkai, who has him kill a rogue ninja named Tarouza. After fulfilling that task, Jiro undergoes training to become a master assassin. Many years later, Jiro finds out that he was an orphan and his real father was Tarouza, who had worked for Tenkai until he aborted his mission when he fell in love with an Ainu woman. The young ninja discovers that the Shogunate was to retrieve the lost treasure of Captain Kidd and use it to once again isolate Japan from the rest of the world. Using the clues that Tarouza had kept secret, Jiro—along with the female ninja Oyuki and a slave named Sam—travels to Russia and America to search for the treasure in hopes of using it to extract revenge from Tenkai.

(Source: ANN)",https://cdn.myanimelist.net/images/anime/1073/94233.jpg
498,Haja Taisei Dangaiou,"['action', 'adventure', 'sci-fi']",7207,6.13,"Four psychic teenagers—Mia Alice, Roll Kran, Lamba Nom and Pai Thunder—are brainwashed by the scientist Dr. Tarsan as pilots of his greatest experiment—the giant robot Dangaioh. But as their memories slowly return, these pilots use their abilities and Dangaioh to combat the tyranny of Captain Galimos and the Bunker Space Pirates. 

(Source: ANN)",https://cdn.myanimelist.net/images/anime/1262/92742.jpg
503,Eien no Aselia,"['adventure', 'drama', 'fantasy']",8715,5.31,"Yuto Takamine and his younger sister-in-law Kaori, were at their parents' grave, when they were suddenly summoned into another world, Phantasmagoria. The King and a woman named Restina took Kaori as a hostage, and ordered Yuto to fight against their enemies. Then, the King gave him a sword called Motomeh to protect their kingdom from enemy spirits. Kaori will only be freed if Yuto helps protect Phantasmagoria. Thus, Yuto's journey begins... 

(Source: ANN)",https://cdn.myanimelist.net/images/anime/1405/112180.jpg
